User_ID,Email,Password,User_first_name,User_last_name,Street,City,State,"Pet_owner?",Want_to_look_after_pets
10000021,wo@gmail.com,760917,Lowri,Johnson,Arapahoe Street,Los Angeles,CA,1,0
10000022,qowieh@gmail.com,634043,Aimee,Hart,San Jacinto Boulevard,Austin,TX,1,0
10000023,ifudw@gmail.com,127608,Evie,Owens,E Travis St,San Antonio,TX,1,0
10000024,oqwiue@gmail.com,449489,Freya,Hansen,Beech Street,San Diego,CA,1,0
10000025,wodufh@gmail.com,554344,Stephanie,Rees,Cedar Street,San Diego,CA,1,1
10000026,oqwu@gmail.com,342600,Ashton,Tait,Ninth Avenue,San Diego,CA,1,1
10000027,wodfh@gmail.com,292453,Selina,Dickinson,Island Avenue,San Diego,CA,1,1
10000028,qiwou@gmail.com,406477,Katarina,England,Market Street,San Diego,CA,1,1
10000029,owduf@gmail.com,977769,Huma,Brennan ,G Street,San Diego,CA,1,1
10000030,quiowe@gmail.com,473626,Kirandeep,Weaver,31st Street,San Diego,CA,1,0
10000031,owdfih@gmail.com,319024,Nabiha,Mack,Cedar Street,San Diego,CA,1,1
10000032,wo@gmail.com,505564,Herbert,Macleod,Ninth Avenue,San Diego,CA,1,1
10000033,dfoj@gmail.com,595272,Akshay,Joyner,W Adams Avenue,Los Angeles,CA,1,1
10000034,qwjke@gmail.com,425074,Anna,Hyde,W Shorb Street,Los Angeles,CA,0,1
10000035,ofkj@gmail.com,469112,Adrianna,Harding,S 2nd Street,Los Angeles,CA,1,1
10000036,oaisd@gmail.com,703912,August,Daniil,Crypess Avenue,New York City,NY,1,0
10000037,disuf@gmail.com,585480,Jadon,Pineda,Gates Avenue,New York City,NY,1,1
10000038,23jb@gmail.com,859153,Lexi-Mai,Franks,Palmetto Street,New York City,NY,1,1
10000039,9oeiw@gmail.com,258028,Nusaybah,Hodgson,Linden Street,New York City,NY,1,1
10000040,ouwe@gmail.com,618171,Dilan,Pate,Bleecker Street,New York City,NY,0,1
10000041,ksdjf@gmail.com,866324,Kaydon,Lyons,Bonito Avenue,Long Beach,CA,1,1
10000042,0qoiwe@gmail.com,696478,Kristopher,Duarte,Cerritos Avenue,Long Beach,CA,1,1
10000043,sldij@gmail.com,705901,Kavan,Lindsey,Gibbs Alley,Pasadena,CA,1,1
10000044,oqhew@gmail.com,456976,Brandy,Naylor,Converse Avenue,Pasadena,CA,1,1
10000045,sfdiou@gmail.com,472367,Izabel,Millar,El Dorado Street,Pasadena,CA,1,1
10000046,qoru@gmail.com,722619,Shivam,Goff,Playhouse Alley,Pasadena,CA,1,1
10000047,sidf@gmail.com,382141,Freja,Perry,Mira Monte Pl,Pasadena,CA,0,1
10000048,isnhd@gmail.com,937961,Ruby-May,Stuart,Arcade Alley,Pasadena,CA,1,1
10000049,wie@gmail.com,661814,Holli,Brandt,Cordova Street,Pasadena,CA,1,1
10000050,oqwe@gmail.com,785672,Shivani,Stacey,E First Street,Long Beach,CA,1,1
10000051,odfj@gmail.com,690536,Shanna,Clements,Beach Access Road,Long Beach,CA,0,1
10000052,qowd@gmail.com,980814,Emre,Petty,Pier G Avenue,Long Beach,CA,1,1
10000053,owdfih@gmail.com,484307,Kadeem,Pruitt,Eighth Avenue,San Diego,CA,1,1
10000054,qow@gmail.com,183840,Kayson,Andrade,Ninth Avenue,San Diego,CA,1,1
10000055,oeg@gmail.com,335502,Jillian,Brown,Cornwell Avenue,New York City,NY,1,1
10000056,slajd@gmail.com,989888,Shanaya,Thatcher,Foxhurst Road,New York City,NY,1,1
10000057,oeifg@gmail.com,697736,Chelsey,Chen,S Madison Avenue,Pasadena,CA,0,1
10000058,qwpoe@gmail.com,190553,Namcy,Li,S Oakland Avenue,Pasadena,CA,1,1
10000059,3qf@gmail.com,156218,Elly,Yao,E Union Street,Pasadena,CA,1,1
10000060,fea@gmail.com,239954,Thad,Cunningham,N Oakland Avenue,Pasadena,CA,0,1
10000061,awef@gmail.com,282561,Brennan,Klein,Lime Avenue,Long Beach,CA,1,1
10000062,54trd@gmail.com,641353,Arron,Schneider,Lime Avenue,Long Beach,CA,1,1
10000063,was@gmail.com,914679,Wolfgang,Stewart,Hancock Street,New York City,NY,1,0
10000064,54wfd@gmail.com,356940,Accius,Harrison,Voorhis Drive,New York City,NY,0,1
10000065,awe@gmail.com,965513,Alwyn,Harmon,Barleau Street,New York City,NY,1,1
10000066,cfhtr@gmail.com,711488,Gray,Guerrero,Lincoln Avenue,New York City,NY,1,0
10000067,3fcsg@gmail.com,376148,Branson,Wilson,Whipple Street,New York City,NY,1,1
10000068,dszv@gmail.com,441809,Blaise,Black,Olive Street,New York City,NY,1,0
10000069,gbrfe3qdf@gmail.com,431041,Kellen,Gallagher,Delta Street,San Diego,CA,1,0
10000070,aef@gmail.com,746138,Talon,Ray,Scott Drive,San Diego,CA,1,0
10000071,rse@gmail.com,226056,Antone,Duncan,Alpha Street,San Diego,CA,1,0
10000072,q34r@gmail.com,120232,Fritz,Baird,Pa Posada Street,San Diego,CA,1,0
10000073,Hqu@gmail.com,968514,Pedro,Robertson,Alpha Street,San Diego,CA,1,0
10000074,resae@gmail.com,466194,Kevon,Singh,Channing Way,Berkeley,CA,0,1
10000075,fgw@gmail.com,926077,Ronaldo,Gardiner,Durant Avenue,Berkeley,CA,1,1
10000076,rh@gmail.com,413296,Kevin,Nelson,Regent Street,Berkeley,CA,1,1
10000077,qreg@gmail.com,875923,Sean,Hanson,Olive Street,New York City,NY,1,1
10000078,hsr@gmail.com,861663,Ravi,Francis,Voorhis Drive,New York City,NY,1,1
10000079,aqre@gmail.com,623946,Frendy,Rice,Hancock Street,New York City,NY,1,1
10000080,aergt@gmail.com,615211,Jamie,Payne,Olive Street,New York City,NY,1,0
10000081,hr4@gmail.com,516728,Jack,Spencer,Hancock Street,New York City,NY,0,1
10000082,rtgf@gmail.com,302092,Tom,Williams,Olive Street,New York City,NY,1,1
10000083,56esfd@gmail.com,296506,Luis,Erickson,Curtis Street,Berkeley,CA,1,1
10000084,3wqa34rf@gmail.com,832825,Rubby,Neal,Allston Way,Berkeley,CA,0,1
10000085,aergf@gmail.com,505483,Henry,Velasquez,Bonar Street,Berkeley,CA,1,1
10000086,awrev@gmail.com,938788,Rob,Christensen,N Sixth Street,San Jose,CA,1,1
10000087,yf@gmail.com,923550,Rose,Hartley,N Fifth Street,San Jose,CA,1,0
10000088,hy@gmail.com,288748,Jessica,Howard,N Fourth Street,San Jose,CA,1,1
10000089,dfjyrnhd@gmail.com,379995,Chauncey,Holland,Walter Street,New York City,NY,0,1
10000090,tn@gmail.com,447137,Russ,Duncan,Ralph Street,New York City,NY,1,1
10000091,yrgfb@gmail.com,161204,Jovany,Riley,Brian Street,New York City,NY,1,1
10000092,r6hg@gmail.com,214937,Vince,Anderson,Julius Street,New York City,NY,1,1
10000093,45tr@gmail.com,803063,Sunny,Martin,Doradell Drive,New York City,NY,1,1
10000094,2awd@gmail.com,359034,Valentine,Stephenson,N Seventh Street,San Jose,CA,1,1
10000095,r76gh@gmail.com,807930,Dontae,Moran,N Third Street,San Jose,CA,0,1
10000096,jyhf@gmail.com,666887,Adelbert,Mu0z,N Fifth Street,San Jose,CA,1,1
10000097,ez@gmail.com,525168,Hoyt,Jenkins,N Ninth Street,San Jose,CA,0,1
10000098,ty@gmail.com,565149,Abdul,Erickson,Jefferson Avenue,Berkeley,CA,1,0
10000099,ghew@gmail.com,733659,Alistair,Martin,California Street,Berkeley,CA,1,1
10000100,rstf@gmail.com,269846,Maximillian,Brown,McGee Avenue,Berkeley,CA,1,1
10000101,hjserc@gmail.com,631042,Mina,Fang,N Sixth Street,San Jose,CA,1,0
10000102,tbn@gmail.com,424732,Julia,Zhang,N Fifth Street,San Jose,CA,1,0
10000103,awefdj@gmail.com,473116,Akila,Matamoto,N Fourth Street,San Jose,CA,1,0
10000104,essgwth@gmail.com,168001,Linko,Nazime,Ninth Avenue,San Diego,CA,1,0
10000105,arevg@gmail.com,187623,Jomi,Chan,W Adams Avenue,Los Angeles,CA,1,0
10000106,dgf@gmail.com,406656,Anyi,Chen,El Cerrito Plaza,El Cerrito,CA,1,0
10000107,awe@gmail.com,968129,Chang,Li,El Cerrito Plaza,El Cerrito,CA,1,0
